,0,1
[ 0.18803099  0.8259798  -0.20446503 -1.369196  ],0.0,0.9
[ 0.20455058  1.0229874  -0.23184896 -1.7182466 ],0.0,0.0
[0.01584201 0.02114445 0.00687967 0.02628314],0.0,0.9
[ 0.01626489  0.21616708  0.00740533 -0.26422125],0.0,0.9
[ 0.02058824  0.41118255  0.0021209  -0.5545593 ],0.9,0.0
[ 0.02881189  0.21603088 -0.00897028 -0.26120892],0.9,0.0
[ 0.0331325   0.02103812 -0.01419446  0.02863123],0.0,0.9
[ 0.03355327  0.21636072 -0.01362184 -0.2684962 ],0.9,0.0
[ 0.03788048  0.02143579 -0.01899176  0.01985938],0.9,0.0
[ 0.0383092  -0.17340872 -0.01859457  0.3064902 ],0.0,0.9
[ 0.03484102  0.02197319 -0.01246477  0.0080015 ],0.0,0.9
[ 0.03528048  0.21727167 -0.01230474 -0.288588  ],0.0,0.9
[ 0.03962592  0.4125669  -0.0180765  -0.58512616],0.0,0.9
[ 0.04787726  0.60793734 -0.02977902 -0.8834481 ],0.9,0.0
[ 0.060036    0.41323218 -0.04744798 -0.6002736 ],0.9,0.0
[ 0.06830065  0.218805   -0.05945346 -0.32290557],0.0,0.9
[ 0.07267675  0.41472092 -0.06591157 -0.6337293 ],0.9,0.0
[ 0.08097117  0.22057733 -0.07858615 -0.36251017],0.0,0.9
[ 0.08538271  0.41672316 -0.08583636 -0.67890143],0.9,0.0
[ 0.09371717  0.2228919  -0.09941439 -0.41442987],0.9,0.0
[ 0.09817501  0.02930922 -0.10770299 -0.1546693 ],0.9,0.0
[ 0.0987612  -0.164119   -0.11079637  0.10218834],0.0,0.9
[ 0.09547882  0.03240203 -0.1087526  -0.22329324],0.0,0.9
[ 0.09612686  0.22889674 -0.11321846 -0.5482043 ],0.0,0.9
[ 0.1007048   0.4254119  -0.12418255 -0.874305  ],0.0,0.9
[ 0.10921303  0.6219835  -0.14166865 -1.2033076 ],0.0,0.9
[ 0.1216527   0.81862384 -0.16573481 -1.5368246 ],0.0,0.9
[ 0.13802518  1.0153075  -0.1964713  -1.8763108 ],0.0,0.9
[ 0.15833133  1.2119564  -0.23399751 -2.223001  ],0.0,0.0
[ 0.01332393 -0.03226291  0.02623066  0.0351214 ],0.0,0.9
[ 0.01267867  0.16247326  0.02693309 -0.24917144],0.9,0.0
[ 0.01592813 -0.03302276  0.02194966  0.05188361],0.9,0.0
[ 0.01526768 -0.22845246  0.02298734  0.3514102 ],0.0,0.9
[ 0.01069863 -0.03366482  0.03001554  0.06606365],0.9,0.0
[ 0.01002533 -0.22920397  0.03133681  0.36806348],0.0,0.9
[ 0.00544125 -0.03454098  0.03869808  0.08542389],0.0,0.9
[ 0.00475043  0.16000551  0.04040656 -0.19480297],0.0,0.9
[ 0.00795054  0.35452688  0.0365105  -0.47447056],0.9,0.0
[ 0.01504108  0.15890886  0.02702109 -0.17050739],0.0,0.9
[ 0.01821926  0.35363385  0.02361094 -0.454545  ],0.9,0.0
[ 0.02529193  0.15818614  0.01452004 -0.15451418],0.0,0.9
[ 0.02845566  0.3530972   0.01142976 -0.44258124],0.0,0.9
[ 0.0355176   0.5480556   0.00257813 -0.7316394 ],0.9,0.0
[ 0.04647871  0.3528981  -0.01205465 -0.43814617],0.0,0.9
[ 0.05353667  0.54818857 -0.02081758 -0.7346046 ],0.0,0.9
[ 0.06450044  0.74359185 -0.03550967 -1.0337659 ],0.9,0.0
[ 0.07937228  0.5489597  -0.05618499 -0.7524393 ],0.0,0.9
[ 0.09035148  0.74480945 -0.07123377 -1.0622602 ],0.9,0.0
[ 0.10524766  0.55069923 -0.09247898 -0.7927583 ],0.9,0.0
[ 0.11626165  0.35696033 -0.10833415 -0.5305418 ],0.0,0.9
[ 0.12340085  0.5534261  -0.11894498 -0.8553007 ],0.9,0.0
[ 0.13446938  0.3601084  -0.136051   -0.60226053],0.9,0.0
[ 0.14167154  0.1671254  -0.1480962  -0.35533667],0.9,0.0
[ 0.14501405 -0.02561467 -0.15520294 -0.11277253],0.0,0.9
[ 0.14450176  0.17135125 -0.1574584  -0.45011687],0.0,0.9
[ 0.14792879  0.36830887 -0.16646072 -0.78800017],0.9,0.0
[ 0.15529497  0.17581667 -0.18222073 -0.5519667 ],0.0,0.9
[ 0.1588113   0.3729669  -0.19326006 -0.89607286],0.9,0.0
[ 0.16627063  0.18091598 -0.21118152 -0.66982496],0.0,0.0
[ 0.00070987  0.01247043 -0.0337691   0.0256004 ],0.9,0.0
[ 0.00095928 -0.18215138 -0.03325709  0.30744046],0.0,0.9
[-0.00268375  0.01342829 -0.02710828  0.00445739],0.0,0.9
[-0.00241518  0.20892832 -0.02701913 -0.29665375],0.0,0.9
[ 0.00176338  0.40442482 -0.03295221 -0.59773415],0.9,0.0
[ 0.00985188  0.20977908 -0.04490689 -0.31561023],0.9,0.0
[ 0.01404746  0.0153246  -0.05121909 -0.03742076],0.0,0.9
[ 0.01435395  0.2111422  -0.05196751 -0.34581378],0.0,0.9
[ 0.0185768   0.40696338 -0.05888379 -0.6544206 ],0.9,0.0
[ 0.02671606  0.21270859 -0.0719722  -0.38084525],0.0,0.9
[ 0.03097024  0.40877482 -0.07958911 -0.6953248 ],0.0,0.9
[ 0.03914573  0.6049051  -0.0934956  -1.0119635 ],0.0,0.9
[ 0.05124384  0.80114174 -0.11373487 -1.3324804 ],0.0,0.9
[ 0.06726667  0.99749917 -0.14038448 -1.6584796 ],0.9,0.0
[ 0.08721665  0.8042655  -0.17355406 -1.4126183 ],0.9,0.0
[ 0.10330196  0.611667   -0.20180644 -1.1788296 ],0.9,0.0
[ 0.1155353   0.41965398 -0.22538303 -0.95558435],0.0,0.0
[-0.0129072   0.02184284  0.03242751 -0.04569393],0.0,0.9
[-0.01247035  0.21648514  0.03151364 -0.3279719 ],0.0,0.9
[-0.00814064  0.4111446   0.0249542  -0.61055267],0.9,0.0
[ 8.2247709e-05  2.1568291e-01  1.2743142e-02 -3.1011561e-01],0.0,0.9
[ 0.00439591  0.41062102  0.00654083 -0.5987526 ],0.0,0.9
[ 0.01260833  0.60565084 -0.00543422 -0.8893681 ],0.9,0.0
[ 0.02472134  0.41060305 -0.02322158 -0.5983984 ],0.0,0.9
[ 0.0329334   0.6060421  -0.03518955 -0.89830446],0.0,0.9
[ 0.04505425  0.80162287 -0.05315564 -1.2018377 ],0.0,0.9
[ 0.0610867  0.9973904 -0.0771924 -1.5106945],0.0,0.9
[ 0.08103451  1.1933581  -0.10740628 -1.8264427 ],0.0,0.9
[ 0.10490167  1.3894948  -0.14393514 -2.150469  ],0.9,0.0
[ 0.13269156  1.1960527  -0.18694451 -1.9054775 ],0.9,0.0
[ 0.15661262  1.0033784  -0.22505407 -1.6761438 ],0.0,0.0
[ 0.00462067  0.02146237 -0.04417593 -0.02791693],0.9,0.0
[ 0.00504992 -0.17299914 -0.04473426  0.25050727],0.0,0.9
[ 0.00158994  0.02273213 -0.03972412 -0.05594341],0.9,0.0
[ 0.00204458 -0.1717984  -0.04084299  0.22394635],0.9,0.0
[-0.00139139 -0.36631352 -0.03636406  0.5034712 ],0.0,0.9
[-0.00871766 -0.17069842 -0.02629464  0.19955386],0.9,0.0
[-0.01213163 -0.36543462 -0.02230356  0.48382744],0.0,0.9
[-0.01944032 -0.17000511 -0.01262701  0.1841994 ],0.9,0.0
[-0.02284042 -0.36494413 -0.00894302  0.47287238],0.0,0.9
[-0.0301393  -0.16969703  0.00051443  0.17738421],0.9,0.0
[-0.03353325 -0.36482632  0.00406211  0.4702294 ],0.0,0.9
[-0.04082977 -0.169762    0.0134667   0.17882955],0.9,0.0
[-0.04422501 -0.36507404  0.01704329  0.47573015],0.9,0.0
[-0.05152649 -0.56043243  0.02655789  0.7737357 ],0.0,0.9
[-0.06273514 -0.36568576  0.04203261  0.48952574],0.0,0.9
[-0.07004885 -0.1711812   0.05182312  0.21038057],0.0,0.9
[-0.07347248  0.02316294  0.05603073 -0.0655151 ],0.9,0.0
[-0.07300922 -0.17271571  0.05472043  0.24430619],0.9,0.0
[-0.07646354 -0.3685748   0.05960656  0.5537349 ],0.9,0.0
[-0.08383504 -0.5644809   0.07068125  0.8645861 ],0.9,0.0
[-0.09512465 -0.7604901   0.08797298  1.1786288 ],0.0,0.9
[-0.11033446 -0.56661373  0.11154555  0.9147696 ],0.9,0.0
[-0.12166673 -0.76305324  0.12984094  1.2403239 ],0.0,0.9
[-0.1369278  -0.5698152   0.15464742  0.9909729 ],0.9,0.0
[-0.1483241  -0.7666306   0.17446688  1.3279581 ],0.0,0.9
[-0.16365671 -0.5740861   0.20102604  1.0945593 ],0.0,0.9
[-0.17513843 -0.38209686  0.22291723  0.87107915],0.0,0.0
[0.02740126 0.00993258 0.01796131 0.0447799 ],0.0,0.9
[ 0.02759991  0.20479243  0.01885691 -0.24218239],0.0,0.9
[ 0.03169576  0.39964002  0.01401326 -0.5288582 ],0.0,0.9
[ 0.03968856  0.59456205  0.00343609 -0.8170928 ],0.9,0.0
[ 0.0515798   0.39939323 -0.01290576 -0.52333105],0.9,0.0
[ 0.05956766  0.20445527 -0.02337238 -0.23474267],0.0,0.9
[ 0.06365677  0.39990324 -0.02806724 -0.5347054 ],0.0,0.9
[ 0.07165483  0.5954084  -0.03876134 -0.8360983 ],0.0,0.9
[ 0.083563    0.79103774 -0.05548331 -1.140715  ],0.9,0.0
[ 0.09938376  0.5966832  -0.07829761 -0.8659355 ],0.9,0.0
[ 0.11131742  0.40270922 -0.09561632 -0.5988619 ],0.9,0.0
[ 0.11937161  0.20904595 -0.10759356 -0.33776224],0.0,0.9
[ 0.12355252  0.40552133 -0.1143488  -0.6623426 ],0.0,0.9
[ 0.13166295  0.6020329  -0.12759565 -0.9887303 ],0.0,0.9
[ 0.14370361  0.7986107  -0.14737026 -1.3186114 ],0.9,0.0
[ 0.15967582  0.6056272  -0.17374249 -1.075444  ],0.9,0.0
[ 0.17178836  0.41317287 -0.19525136 -0.8419324 ],0.9,0.0
[ 0.18005182  0.2211751  -0.21209002 -0.61644787],0.0,0.0
[ 0.04745636  0.03336043 -0.02538353 -0.03880042],0.0,0.9
[ 0.04812356  0.22883701 -0.02615954 -0.3393828 ],0.0,0.9
[ 0.05270031  0.42432123 -0.0329472  -0.6401988 ],0.9,0.0
[ 0.06118673  0.22967373 -0.04575117 -0.35807076],0.0,0.9
[ 0.06578021  0.42541522 -0.05291259 -0.6648219 ],0.9,0.0
[ 0.07428851  0.23106767 -0.06620903 -0.3892576 ],0.0,0.9
[ 0.07890987  0.42706382 -0.07399417 -0.702059  ],0.9,0.0
[ 0.08745114  0.23304124 -0.08803536 -0.43355587],0.0,0.9
[ 0.09211197  0.4292921  -0.09670647 -0.75264114],0.0,0.9
[ 0.10069781  0.62560505 -0.1117593  -1.0741221 ],0.0,0.9
[ 0.11320991  0.8220122  -0.13324174 -1.3996837 ],0.9,0.0
[ 0.12965015  0.6287742  -0.1612354  -1.1514531 ],0.9,0.0
[ 0.14222564  0.43608046 -0.18426448 -0.9133596 ],0.9,0.0
[ 0.15094724  0.24386476 -0.20253167 -0.68378466],0.9,0.0
[ 0.15582454  0.05204478 -0.21620736 -0.46107385],0.0,0.0
[-0.03097972 -0.02322192  0.00424612  0.03080005],0.9,0.0
[-0.03144416 -0.2184045   0.00486212  0.32481965],0.9,0.0
[-0.03581225 -0.41359535  0.01135851  0.6190319 ],0.0,0.9
[-0.04408416 -0.21863388  0.02373915  0.3299479 ],0.9,0.0
[-0.04845683 -0.41408557  0.0303381   0.63002145],0.9,0.0
[-0.05673854 -0.6096174   0.04293853  0.9321023 ],0.0,0.9
[-0.06893089 -0.41510037  0.06158058  0.65321577],0.0,0.9
[-0.0772329  -0.22088754  0.07464489  0.38054195],0.9,0.0
[-0.08165065 -0.41698572  0.08225574  0.6957953 ],0.0,0.9
[-0.08999037 -0.22309507  0.09617164  0.43009862],0.9,0.0
[-0.09445227 -0.41943797  0.10477361  0.75148296],0.9,0.0
[-0.10284103 -0.6158368   0.11980327  1.0752127 ],0.0,0.9
[-0.11515776 -0.42248386  0.14130753  0.8224003 ],0.9,0.0
[-0.12360744 -0.61922705  0.15775554  1.1559798 ],0.0,0.9
[-0.13599198 -0.42647347  0.18087514  0.91662776],0.0,0.9
[-0.14452145 -0.23419714  0.19920768  0.6858061 ],0.9,0.0
[-0.14920539 -0.43144503  0.21292381  1.0340071 ],0.0,0.0
[ 0.00631332 -0.0157622  -0.02195728 -0.0418278 ],0.0,0.9
[ 0.00599808  0.17966762 -0.02279383 -0.34135678],0.9,0.0
[ 0.00959143 -0.01512274 -0.02962097 -0.05594796],0.0,0.9
[ 0.00928898  0.18041113 -0.03073993 -0.3578274 ],0.0,0.9
[ 0.0128972   0.3759563  -0.03789647 -0.6600427 ],0.9,0.0
[ 0.02041633  0.18138166 -0.05109733 -0.37952918],0.9,0.0
[ 0.02404396 -0.01297883 -0.05868791 -0.10338503],0.0,0.9
[ 0.02378438  0.18293293 -0.06075561 -0.4139911 ],0.0,0.9
[ 0.02744304  0.37886107 -0.06903543 -0.7251922 ],0.0,0.9
[ 0.03502026  0.5748663  -0.08353928 -1.03878   ],0.0,0.9
[ 0.04651759  0.770993   -0.10431488 -1.3564761 ],0.0,0.9
[ 0.06193745  0.9672575  -0.1314444  -1.6798856 ],0.0,0.9
[ 0.0812826   1.1636353  -0.16504212 -2.0104446 ],0.0,0.9
[ 0.1045553   1.3600457  -0.20525101 -2.349359  ],0.9,0.0
[ 0.13175622  1.1672738  -0.25223818 -2.1261919 ],0.0,0.0
[-0.0418709   0.01484132  0.01655513 -0.01855815],0.0,0.9
[-0.04157407  0.20972198  0.01618396 -0.3059721 ],0.0,0.9
[-0.03737963  0.40460962  0.01006452 -0.5935074 ],0.9,0.0
[-0.02928744  0.20934825 -0.00180563 -0.29767126],0.9,0.0
[-0.02510048  0.01425208 -0.00775905 -0.00555833],0.9,0.0
[-0.02481543 -0.18075775 -0.00787022  0.28466645],0.0,0.9
[-0.02843059  0.01447557 -0.00217689 -0.01048826],0.0,0.9
[-0.02814108  0.20962867 -0.00238665 -0.30385724],0.0,0.9
[-0.02394851  0.40478456 -0.0084638  -0.5972919 ],0.0,0.9
[-0.01585281  0.6000239  -0.02040964 -0.8926288 ],0.0,0.9
[-0.00385234  0.79541665 -0.03826221 -1.1916568 ],0.9,0.0
[ 0.012056    0.60081077 -0.06209535 -0.91120803],0.0,0.9
[ 0.02407221  0.7967155  -0.08031951 -1.222743  ],0.0,0.9
[ 0.04000652  0.992775   -0.10477437 -1.5394728 ],0.0,0.9
[ 0.05986203  1.1889898  -0.13556382 -1.8629283 ],0.0,0.9
[ 0.08364182  1.3853122  -0.17282239 -2.194444  ],0.0,0.9
[ 0.11134806  1.581631   -0.21671127 -2.5350924 ],0.0,0.0
[ 0.04592588  0.03228537 -0.01037777 -0.03475115],0.9,0.0
[ 0.04657159 -0.16268624 -0.0110728   0.2546395 ],0.0,0.9
[ 0.04331786  0.03259205 -0.00598001 -0.04151531],0.9,0.0
[ 0.0439697  -0.16244364 -0.00681031  0.24927488],0.0,0.9
[ 0.04072083  0.0327749  -0.00182482 -0.04554836],0.0,0.9
[ 0.04137633  0.22792298 -0.00273578 -0.33880648],0.9,0.0
[ 0.04593479  0.03284005 -0.00951191 -0.04698751],0.9,0.0
[ 0.04659159 -0.16214421 -0.01045166  0.24267921],0.0,0.9
[ 0.0433487   0.03312545 -0.00559808 -0.05328203],0.9,0.0
[ 0.04401121 -0.16191578 -0.00666372  0.23762941],0.0,0.9
[ 0.0407729   0.03330073 -0.00191113 -0.05714798],0.0,0.9
[ 0.04143891  0.22845003 -0.00305409 -0.35043326],0.0,0.9
[ 0.04600791  0.42361528 -0.01006276 -0.64407766],0.0,0.9
[ 0.05448022  0.61887604 -0.02294431 -0.9399124 ],0.0,0.9
[ 0.06685774  0.8142996  -0.04174256 -1.2397156 ],0.9,0.0
[ 0.08314373  0.61973786 -0.06653687 -0.96039593],0.0,0.9
[ 0.09553849  0.815688   -0.08574479 -1.2732182 ],0.0,0.9
[ 0.11185225  1.0117929  -0.11120915 -1.591473  ],0.0,0.9
[ 0.13208811  1.2080456  -0.14303862 -1.9166616 ],0.0,0.9
[ 0.15624902  1.4043882  -0.18137185 -2.250078  ],0.0,0.9
[ 0.18433678  1.6006963  -0.2263734  -2.5927415 ],0.0,0.0
[ 0.04210648  0.00609924 -0.00774992  0.00607155],0.0,0.9
[ 0.04222847  0.20133148 -0.00762849 -0.28904647],0.9,0.0
[ 0.0462551   0.00631913 -0.01340942  0.00122079],0.0,0.9
[ 0.04638148  0.2016308  -0.013385   -0.29566264],0.9,0.0
[ 0.05041409  0.0067022  -0.01929826 -0.00723099],0.9,0.0
[ 0.05054814 -0.18813774 -0.01944287  0.27930117],0.9,0.0
[ 0.04678538 -0.382977   -0.01385685  0.565789  ],0.0,0.9
[ 0.03912584 -0.18766344 -0.00254107  0.26877296],0.0,0.9
[ 0.03537257  0.00749469  0.00283439 -0.02471035],0.0,0.9
[ 0.03552247  0.20257588  0.00234018 -0.31649765],0.9,0.0
[ 0.03957399  0.00742067 -0.00398977 -0.02307763],0.0,0.9
[ 0.0397224   0.20259961 -0.00445132 -0.3170167 ],0.0,0.9
[ 0.04377439  0.39778468 -0.01079166 -0.6111001 ],0.9,0.0
[ 0.05173009  0.20281522 -0.02301366 -0.3218356 ],0.9,0.0
[ 0.05578639  0.00802842 -0.02945037 -0.0364982 ],0.0,0.9
[ 0.05594696  0.20356004 -0.03018034 -0.33832562],0.9,0.0
[ 0.06001816  0.00888026 -0.03694685 -0.05531059],0.9,0.0
[ 0.06019576 -0.18569298 -0.03805306  0.2254902 ],0.9,0.0
[ 0.05648191 -0.38025102 -0.03354326  0.5059311 ],0.9,0.0
[ 0.04887689 -0.5748846  -0.02342463  0.78785735],0.0,0.9
[ 0.03737919 -0.3794489  -0.00766749  0.487898  ],0.9,0.0
[ 0.02979021 -0.5744618   0.00209047  0.77815455],0.0,0.9
[ 0.01830098 -0.37936866  0.01765356  0.4861301 ],0.9,0.0
[ 0.0107136  -0.5747352   0.02737617  0.7843241 ],0.9,0.0
[-7.8109984e-04 -7.7022243e-01  4.3062650e-02  1.0854927e+00],0.9,0.0
[-0.01618555 -0.9658852   0.0647725   1.3913713 ],0.9,0.0
[-0.03550325 -1.1617512   0.09259993  1.703584  ],0.0,0.9
[-0.05873828 -0.9678092   0.1266716   1.4411027 ],0.9,0.0
[-0.07809446 -1.1642431   0.15549366  1.7705348 ],0.0,0.9
[-0.10137932 -0.9711805   0.19090435  1.529966  ],0.9,0.0
[-0.12080293 -1.1680224   0.22150367  1.8756503 ],0.0,0.0
[-0.02962548 -0.00642091 -0.04962686  0.03505766],0.0,0.9
[-0.0297539   0.18937628 -0.04892571 -0.27286085],0.9,0.0
[-0.02596637 -0.00501465 -0.05438292  0.00399821],0.0,0.9
[-0.02606667  0.19084334 -0.05430296 -0.30533516],0.9,0.0
[-0.0222498  -0.0034644  -0.06040967 -0.03026039],0.9,0.0
[-0.02231909 -0.19767036 -0.06101487  0.24276753],0.0,0.9
[-0.02627249 -0.00173234 -0.05615952 -0.06851982],0.0,0.9
[-0.02630714  0.19414791 -0.05752992 -0.37837923],0.0,0.9
[-0.02242418  0.3900377  -0.0650975  -0.68863225],0.9,0.0
[-0.01462343  0.19587672 -0.07887015 -0.4171328 ],0.0,0.9
[-0.01070589  0.39202264 -0.0872128  -0.73360085],0.0,0.9
[-0.00286544  0.58823436 -0.10188482 -1.0524079 ],0.0,0.9
[ 0.00889925  0.7845489  -0.12293298 -1.375255  ],0.9,0.0
[ 0.02459022  0.5911588  -0.15043809 -1.1234103 ],0.9,0.0
[ 0.0364134   0.39829436 -0.17290628 -0.8814434 ],0.0,0.9
[ 0.04437929  0.5952898  -0.19053516 -1.223112  ],0.0,0.9
[ 0.05628508  0.7922853  -0.2149974  -1.5689366 ],0.0,0.0
[-0.00897174  0.044731    0.0190744  -0.006436  ],0.0,0.9
[-0.00807712  0.23957428  0.01894568 -0.29304022],0.9,0.0
[-0.00328563  0.0441874   0.01308487  0.0055572 ],0.0,0.9
[-0.00240188  0.23911928  0.01319601 -0.28296873],0.9,0.0
[0.0023805  0.04381162 0.00753664 0.01384676],0.0,0.9
[ 0.00325673  0.23882468  0.00781358 -0.27644876],0.0,0.9
[ 0.00803323  0.43383428  0.0022846  -0.56665707],0.0,0.9
[ 0.01670991  0.62892413 -0.00904854 -0.8586194 ],0.9,0.0
[ 0.02928839  0.43392658 -0.02622093 -0.5687953 ],0.0,0.9
[ 0.03796693  0.6294063  -0.03759684 -0.8696222 ],0.9,0.0
[ 0.05055505  0.4348154  -0.05498928 -0.58899295],0.0,0.9
[ 0.05925136  0.6306625  -0.06676914 -0.89847827],0.0,0.9
[ 0.07186461  0.82662284 -0.0847387  -1.2113793 ],0.9,0.0
[ 0.08839707  0.6326908  -0.10896629 -0.94640845],0.9,0.0
[ 0.10105088  0.43919167 -0.12789446 -0.68985397],0.0,0.9
[ 0.10983472  0.6358346  -0.14169154 -1.0199078 ],0.0,0.9
[ 0.12255141  0.8325312  -0.16208969 -1.353514  ],0.9,0.0
[ 0.13920203  0.63977224 -0.18915997 -1.1156114 ],0.0,0.9
[ 0.15199748  0.8368047  -0.2114722  -1.4611703 ],0.0,0.0
[ 0.01093081  0.00445511 -0.03462194  0.00979189],0.9,0.0
[ 0.01101991 -0.19015364 -0.0344261   0.2913533 ],0.0,0.9
[ 0.00721684  0.00544183 -0.02859903 -0.01198537],0.0,0.9
[ 0.00732568  0.200962   -0.02883874 -0.31355268],0.0,0.9
[ 0.01134492  0.39648265 -0.0351098  -0.61518914],0.9,0.0
[ 0.01927457  0.2018684  -0.04741358 -0.3337678 ],0.9,0.0
[ 0.02331194  0.00745222 -0.05408894 -0.05640563],0.0,0.9
[ 0.02346098  0.20330632 -0.05521705 -0.36565155],0.0,0.9
[ 0.02752711  0.39916772 -0.06253008 -0.67522144],0.0,0.9
[ 0.03551046  0.59510034 -0.07603451 -0.9869178 ],0.9,0.0
[ 0.04741247  0.40107435 -0.09577286 -0.7190524 ],0.9,0.0
[ 0.05543396  0.20739889 -0.11015391 -0.4579847 ],0.9,0.0
[ 0.05958194  0.01399248 -0.11931361 -0.20195319],0.9,0.0
[ 0.05986178 -0.17923895 -0.12335267  0.05083827],0.0,0.9
[ 0.056277    0.01741603 -0.1223359  -0.2780766 ],0.0,0.9
[ 0.05662533  0.21405153 -0.12789743 -0.60670257],0.9,0.0
[ 0.06090635  0.02092797 -0.14003149 -0.35688272],0.0,0.9
[ 0.06132492  0.21773416 -0.14716914 -0.6902372 ],0.0,0.9
[ 0.06567959  0.41455853 -0.16097388 -1.0253941 ],0.9,0.0
[ 0.07397077  0.22190325 -0.18148176 -0.78726935],0.0,0.9
[ 0.07840884  0.41899222 -0.19722715 -1.131111  ],0.9,0.0
[ 0.08678868  0.22692105 -0.21984936 -0.90619916],0.0,0.0
[-0.04543544  0.03303614  0.00712311 -0.04825432],0.9,0.0
[-0.04477472 -0.16218723  0.00615802  0.24666747],0.9,0.0
[-0.04801846 -0.35739657  0.01109137  0.5412864 ],0.9,0.0
[-0.05516639 -0.5526727   0.0219171   0.8374433 ],0.9,0.0
[-0.06621985 -0.748087    0.03866597  1.1369375 ],0.9,0.0
[-0.08118159 -0.94369274  0.06140472  1.4414918 ],0.9,0.0
[-0.10005544 -1.1395148   0.09023456  1.7527128 ],0.0,0.9
[-0.12284574 -0.9455251   0.12528881  1.4894052 ],0.9,0.0
[-0.14175624 -1.1419302   0.15507692  1.8184423 ],0.0,0.9
[-0.16459484 -0.9488357   0.19144575  1.5776863 ],0.0,0.9
[-0.18357156 -0.75644034  0.22299948  1.3503077 ],0.0,0.0
[-0.0422196  -0.04958492 -0.04710833 -0.04579655],0.0,0.9
[-0.0432113   0.14617977 -0.04802426 -0.35296255],0.0,0.9
[-0.0402877   0.34195057 -0.05508351 -0.6603939 ],0.0,0.9
[-0.03344869  0.53779405 -0.06829139 -0.9698999 ],0.9,0.0
[-0.02269281  0.34365195 -0.08768938 -0.6994276 ],0.9,0.0
[-0.01581977  0.14984812 -0.10167794 -0.4355865 ],0.9,0.0
[-0.01282281 -0.04369853 -0.11038966 -0.17660779],0.0,0.9
[-0.01369678  0.15281588 -0.11392182 -0.50197387],0.0,0.9
